student,gender,age,region,traveltime,studytime,performance,parentincome,activities,educatedparent,internet,freetime,attendance,G1,G2,G3,total,percentage,percent,result,shortlisted,inc
264,female,17,urban,1,3,80,500,1,1,1,2,76,10,9,9,28,46.66666667, 46.00 ,0,0,450
265,female,18,urban,1,3,80,450,1,1,1,3,75,9,10,0,19,31.66666667, 31.00 ,0,0,250
266,male,18,rural,2,2,60,500,1,1,1,2,50,17,17,17,52,86.66666667, 86.00 ,1,0,400
267,male,17,urban,1,2,60,100,1,0,0,4,75,9,9,10,29,48.33333333, 48.00 ,1,1,70
268,female,18,rural,2,4,90,300,1,1,1,3,58,12,10,11,34,56.66666667, 56.00 ,1,0,70
269,male,18,urban,1,2,60,65,1,0,0,4,61,10,9,10,30,50, 50.00 ,1,1,65
270,female,18,rural,2,2,60,400,0,1,1,3,51,6,0,0,6,10, 10.00 ,0,0,70
271,female,19,urban,1,2,60,450,1,1,1,3,56,9,9,9,27,45, 45.00 ,0,0,300
272,female,18,urban,1,4,90,100,1,0,0,5,93,15,14,14,44,73.33333333, 73.00 ,1,1,300
273,female,18,urban,2,2,60,400,0,1,1,4,74,11,11,11,34,56.66666667, 56.00 ,1,0,100
274,male,17,rural,1,2,60,300,1,1,1,5,78,15,14,14,44,73.33333333, 73.00 ,1,0,400
275,female,17,urban,2,2,60,500,0,1,1,3,74,10,10,10,31,51.66666667, 51.00 ,1,0,400
276,female,17,urban,2,2,60,300,0,1,1,4,82,12,12,12,37,61.66666667, 61.00 ,1,0,500
277,female,18,rural,2,2,60,250,0,0,1,1,92,10,9,9,28,46.66666667, 46.00 ,0,0,65
278,male,18,urban,2,1,40,400,1,1,1,2,86,9,9,9,27,45, 45.00 ,0,0,70
279,female,18,urban,1,2,60,70,1,0,0,4,71,9,8,8,25,41.66666667, 41.00 ,0,1,400
280,male,18,urban,2,1,40,70,1,0,0,2,85,10,11,10,32,53.33333333, 53.00 ,1,1,100
281,male,17,urban,2,1,40,80,1,0,0,5,63,8,8,8,24,40, 40.00 ,0,1,450
282,male,17,urban,1,1,40,65,0,0,0,4,75,11,9,10,31,51.66666667, 51.00 ,1,1,65
283,female,18,rural,2,4,90,250,1,0,1,2,72,12,12,12,37,61.66666667, 61.00 ,1,0,100
284,female,18,urban,2,2,60,65,1,0,0,4,61,8,9,10,28,46.66666667, 46.00 ,1,1,400
285,female,17,urban,1,2,60,450,0,1,1,4,51,10,9,11,31,51.66666667, 51.00 ,1,0,100
286,male,17,urban,1,2,60,450,0,1,1,3,55,12,10,11,34,56.66666667, 56.00 ,1,0,200
287,female,18,urban,1,3,80,450,0,1,1,3,53,18,18,19,56,93.33333333, 93.00 ,1,0,250
288,female,17,urban,1,3,80,250,0,0,1,3,51,13,12,12,38,63.33333333, 63.00 ,1,0,200
289,male,18,urban,1,3,80,200,1,0,1,2,50,15,14,14,44,73.33333333, 73.00 ,1,0,100
290,male,18,urban,1,2,60,300,1,1,1,4,61,15,13,15,44,73.33333333, 73.00 ,1,0,500
291,male,18,urban,1,2,60,80,1,0,0,3,87,12,11,11,35,58.33333333, 58.00 ,1,1,70
292,female,17,urban,1,3,80,300,0,1,1,2,76,15,15,15,46,76.66666667, 76.00 ,1,0,450
293,female,18,urban,1,2,60,400,0,1,1,4,69,12,12,13,38,63.33333333, 63.00 ,1,0,250
294,female,17,rural,2,4,90,450,0,1,1,1,72,18,18,18,55,91.66666667, 91.00 ,1,0,80
295,male,18,rural,2,3,80,450,1,1,1,4,90,14,13,14,42,70, 70.00 ,1,0,200
296,male,17,urban,1,1,40,400,0,1,1,4,65,14,12,11,38,63.33333333, 63.00 ,1,0,300
297,female,19,urban,2,2,60,70,1,0,0,3,82,10,9,0,19,31.66666667, 31.00 ,0,1,200
298,female,18,urban,2,2,60,70,0,0,0,4,69,10,8,8,26,43.33333333, 43.00 ,0,1,250
299,female,18,urban,1,4,90,100,0,0,0,3,90,14,13,14,42,70, 70.00 ,1,1,70
300,male,18,urban,1,1,40,450,0,1,1,4,73,16,15,16,48,80, 80.00 ,1,0,400
301,female,18,urban,1,2,60,300,0,1,1,2,61,12,10,11,34,56.66666667, 56.00 ,1,0,200
302,male,17,urban,2,1,40,450,0,1,1,1,55,11,11,10,33,55, 55.00 ,1,0,100
303,female,17,urban,2,3,80,500,0,1,1,3,75,15,12,14,42,70, 70.00 ,1,0,400
304,female,17,urban,1,4,90,400,1,1,1,2,57,17,17,18,53,88.33333333, 88.00 ,1,0,100
305,male,19,urban,1,2,60,300,1,1,1,4,56,15,14,13,43,71.66666667, 71.00 ,1,0,65
306,female,18,urban,1,2,60,400,1,1,1,4,55,14,12,12,39,65, 65.00 ,1,0,400
307,male,20,urban,1,1,40,500,1,1,1,5,54,17,18,18,54,90, 90.00 ,1,0,100
308,male,19,urban,2,1,40,450,0,1,1,3,73,8,9,8,25,41.66666667, 41.00 ,0,0,70
309,male,19,rural,1,2,60,65,1,0,0,5,78,15,12,12,40,66.66666667, 66.00 ,1,1,65
310,female,19,urban,1,2,60,80,1,0,0,4,63,12,10,10,33,55, 55.00 ,1,1,450
311,female,19,urban,1,3,80,65,1,0,0,2,93,9,9,0,18,30, 30.00 ,0,1,500
312,female,19,urban,3,2,60,300,0,1,1,4,50,14,12,13,40,66.66666667, 66.00 ,1,0,400
313,male,19,urban,1,2,60,500,0,1,1,5,82,13,11,11,36,60, 60.00 ,1,0,250
314,female,19,urban,2,2,60,200,0,0,1,2,87,13,10,11,35,58.33333333, 58.00 ,1,0,500
315,female,19,urban,1,3,80,400,0,1,1,1,59,15,13,13,42,70, 70.00 ,1,0,100
316,female,19,rural,1,3,80,500,0,1,1,1,59,13,11,11,36,60, 60.00 ,1,0,400
317,female,18,urban,2,2,60,450,1,1,1,3,90,8,8,0,16,26.66666667, 26.00 ,0,0,65
318,female,18,urban,1,3,80,80,1,0,0,3,89,9,10,9,28,46.66666667, 46.00 ,0,1,65
319,female,17,rural,1,3,80,200,1,0,1,3,89,11,11,10,33,55, 55.00 ,1,0,200
320,female,18,urban,1,2,60,65,0,0,0,4,50,11,11,11,34,56.66666667, 56.00 ,1,1,200
321,female,17,urban,1,2,60,300,0,1,1,2,55,13,13,13,40,66.66666667, 66.00 ,1,0,450
322,female,17,urban,1,4,90,100,0,0,0,2,82,11,9,9,29,48.33333333, 48.00 ,0,1,70
323,female,17,rural,1,3,80,400,1,1,1,3,56,11,11,11,34,56.66666667, 56.00 ,1,0,400
324,female,17,urban,1,3,80,300,0,1,1,4,67,12,14,15,42,70, 70.00 ,1,0,450
325,female,17,urban,2,3,80,70,0,0,0,3,66,16,15,15,47,78.33333333, 78.00 ,1,1,300
326,male,18,urban,1,3,80,250,1,0,1,3,56,9,12,11,33,55, 55.00 ,1,0,70
327,male,17,urban,1,1,40,250,1,0,1,3,58,14,15,16,46,76.66666667, 76.00 ,1,0,450
328,male,17,rural,4,1,40,65,0,0,0,4,79,11,10,10,32,53.33333333, 53.00 ,1,1,400
329,female,17,urban,1,3,80,70,1,0,0,4,75,10,9,9,28,46.66666667, 46.00 ,0,1,80
330,female,17,urban,2,3,80,65,0,0,0,3,76,14,14,14,43,71.66666667, 71.00 ,1,1,400
331,male,18,urban,1,4,90,450,1,1,1,5,64,9,8,8,25,41.66666667, 41.00 ,0,0,400
332,female,17,rural,1,3,80,450,0,1,1,4,67,12,14,14,41,68.33333333, 68.00 ,1,0,70
333,female,18,urban,1,2,60,200,1,0,1,3,92,7,0,0,7,11.66666667, 11.00 ,0,0,80
334,female,18,urban,1,2,60,100,1,0,0,3,53,8,8,0,16,26.66666667, 26.00 ,0,1,65
335,female,18,rural,2,4,90,300,1,1,1,4,72,10,9,0,19,31.66666667, 31.00 ,0,0,400
336,female,17,urban,1,3,80,450,0,1,1,4,76,16,15,15,47,78.33333333, 78.00 ,1,0,300
337,female,19,rural,1,3,80,65,0,0,0,4,57,14,13,13,41,68.33333333, 68.00 ,1,1,500
338,female,17,urban,1,2,60,400,0,1,1,3,58,7,8,0,15,25, 25.00 ,0,0,450
339,female,18,urban,1,4,90,500,0,1,1,3,55,16,15,17,49,81.66666667, 81.00 ,1,0,500
340,female,17,rural,1,2,60,70,0,0,0,3,76,9,10,10,30,50, 50.00 ,1,1,70
341,female,19,urban,1,3,80,70,1,0,0,3,86,11,12,11,35,58.33333333, 58.00 ,1,1,450
342,male,18,urban,1,2,60,80,1,0,0,3,84,10,10,0,20,33.33333333, 33.00 ,0,1,450
343,male,18,urban,1,2,60,300,1,1,1,3,63,16,15,15,47,78.33333333, 78.00 ,1,0,100
344,female,17,urban,1,2,60,500,0,1,1,3,62,9,8,0,17,28.33333333, 28.00 ,0,0,200
345,female,18,urban,1,3,80,500,0,1,1,3,65,11,10,10,32,53.33333333, 53.00 ,1,0,450
346,female,18,urban,1,3,80,400,0,1,1,4,62,13,13,14,41,68.33333333, 68.00 ,1,0,80
347,male,18,rural,1,3,80,400,0,1,1,3,55,16,15,16,48,80, 80.00 ,1,0,200
348,male,18,urban,1,3,80,200,0,0,1,4,83,10,10,9,29,48.33333333, 48.00 ,0,0,100
349,female,17,urban,1,3,80,500,1,1,1,4,52,13,15,15,44,73.33333333, 73.00 ,1,0,300
350,male,18,rural,2,1,40,70,0,0,0,5,93,11,13,13,38,63.33333333, 63.00 ,1,1,250
351,male,19,rural,3,2,60,400,0,1,1,4,80,8,7,8,23,38.33333333, 38.00 ,0,0,500
352,male,17,urban,2,2,60,200,0,0,1,5,65,13,13,13,40,66.66666667, 66.00 ,1,0,400
353,male,18,urban,1,4,90,400,0,1,1,3,64,8,7,8,23,38.33333333, 38.00 ,0,0,100
354,male,19,rural,3,1,40,400,0,1,1,4,65,8,8,8,24,40, 40.00 ,0,0,200
355,male,17,rural,2,2,60,80,1,0,0,5,50,13,11,11,36,60, 60.00 ,1,1,250
356,female,18,urban,1,2,60,70,0,0,0,3,67,10,9,9,28,46.66666667, 46.00 ,0,1,400
357,female,17,rural,2,2,60,300,1,1,1,3,82,12,13,13,39,65, 65.00 ,1,0,70
358,female,17,urban,2,2,60,70,0,0,0,2,70,12,12,11,36,60, 60.00 ,1,1,450
359,male,18,urban,2,1,40,65,0,0,0,3,74,10,10,10,31,51.66666667, 51.00 ,1,1,80
360,female,18,urban,2,3,80,70,0,0,0,3,74,18,16,16,51,85, 85.00 ,1,1,250
361,female,18,rural,3,2,60,300,0,1,1,3,70,13,13,13,40,66.66666667, 66.00 ,1,0,400
362,male,18,rural,2,2,60,65,1,0,0,4,50,13,12,12,38,63.33333333, 63.00 ,1,1,200
363,female,18,urban,2,2,60,100,0,0,0,3,69,11,11,10,33,55, 55.00 ,1,1,70
364,female,17,urban,1,2,60,450,1,1,1,3,70,16,15,15,47,78.33333333, 78.00 ,1,0,500
365,female,17,rural,2,2,60,300,0,1,1,2,87,12,11,12,36,60, 60.00 ,1,0,250
366,male,18,rural,2,2,60,500,0,1,1,3,62,10,10,10,31,51.66666667, 51.00 ,1,0,400
367,male,18,urban,2,3,80,70,0,0,0,2,69,13,13,13,40,66.66666667, 66.00 ,1,1,80
368,female,17,rural,3,1,40,500,0,1,1,2,78,7,6,0,13,21.66666667, 21.00 ,0,0,100
369,female,18,urban,2,4,90,70,0,0,0,2,59,11,10,10,32,53.33333333, 53.00 ,1,1,70
370,female,18,rural,3,2,60,80,0,0,0,2,65,14,12,11,38,63.33333333, 63.00 ,1,1,450
371,female,19,urban,2,2,60,70,1,0,0,2,59,7,7,9,23,38.33333333, 38.00 ,0,1,300
372,male,18,rural,3,1,40,250,1,0,1,3,64,14,12,12,39,65, 65.00 ,1,0,100
373,female,17,urban,1,3,80,250,1,0,1,4,68,13,11,11,36,60, 60.00 ,1,0,70
374,female,17,rural,1,1,40,300,1,1,1,5,62,6,5,5,16,26.66666667, 26.00 ,0,0,80
375,female,18,rural,2,3,80,65,0,0,0,4,93,19,18,19,57,95, 95.00 ,1,1,450
376,female,18,rural,4,3,80,250,0,0,1,3,86,8,8,10,27,45, 45.00 ,1,0,250
377,female,20,urban,2,3,80,200,0,0,1,4,53,15,14,15,45,75, 75.00 ,1,0,250
378,female,18,rural,1,2,60,450,1,1,1,4,78,8,9,10,28,46.66666667, 46.00 ,1,0,300
379,female,18,urban,1,2,60,100,0,0,0,1,77,15,15,15,46,76.66666667, 76.00 ,1,1,100
380,female,17,rural,1,2,60,65,1,0,0,5,82,10,10,10,31,51.66666667, 51.00 ,1,1,65
381,male,18,urban,1,2,60,100,1,0,0,2,69,15,14,14,44,73.33333333, 73.00 ,1,1,500
382,male,18,rural,2,4,90,450,1,1,1,4,81,7,6,7,20,33.33333333, 33.00 ,0,0,450
383,male,17,urban,2,2,60,70,1,0,0,4,73,11,11,10,33,55, 55.00 ,1,1,70
384,male,19,rural,2,1,40,80,0,0,0,3,90,6,5,0,11,18.33333333, 18.00 ,0,1,65
385,male,18,rural,2,1,40,80,0,0,0,4,67,6,5,5,16,26.66666667, 26.00 ,0,1,80
386,female,18,rural,2,3,80,400,0,1,1,3,71,10,9,10,30,50, 50.00 ,1,0,80
387,female,18,rural,3,1,40,250,1,0,1,4,89,6,5,6,17,28.33333333, 28.00 ,0,0,80
388,female,19,rural,1,3,80,500,1,1,1,4,92,7,5,0,12,20, 20.00 ,0,0,400
389,female,18,urban,1,2,60,65,0,0,0,3,52,7,9,8,24,40, 40.00 ,0,1,100
390,female,18,urban,2,2,60,500,1,1,1,1,69,6,5,0,11,18.33333333, 18.00 ,0,0,100
391,male,20,urban,1,4,90,450,0,1,1,5,88,9,9,9,27,45, 45.00 ,0,0,70
392,male,17,urban,2,1,40,100,0,0,0,4,83,14,16,16,47,78.33333333, 78.00 ,1,1,500
393,male,21,rural,1,1,40,450,0,1,1,5,66,10,8,7,25,41.66666667, 41.00 ,0,0,400
394,male,18,rural,3,1,40,70,0,0,0,4,65,11,12,10,34,56.66666667, 56.00 ,1,1,100
395,male,19,urban,1,4,90,100,0,0,0,2,63,8,9,9,26,43.33333333, 43.00 ,0,1,300
396,male,19,rural,3,1,40,70,0,0,0,4,84,11,13,13,37,61.66666667, 61.00 ,0,1,100
397,male,17,rural,2,2,60,80,1,0,0,5,79,8,7,8,24,40, 40.00 ,1,1,450
398,female,16,urban,2,1,40,450,1,1,1,3,79,13,13,13,39,65, 65.00 ,0,0,300
399,male,16,urban,1,3,80,80,0,0,0,4,91,8,7,8,24,40, 40.00 ,1,1,500
400,female,15,urban,2,1,40,65,1,0,0,3,68,8,8,8,25,41.66666667, 41.00 ,1,1,400
